codigo,nombre,creditos,semestre,obligatorio
3005,Técnicas de Estudio e Investigación,3,1,SI
3003,Área Social Humanística 1,3,1,SI
3000,Área Matemática Básica 1,9,1,SI
3001,Química General 1,7,1,SI
3004,Área Técnica Complementaria 1,4,1,SI
3082,Deportes 1,2,1,NO
3011,Área Social Humanística 2,3,2,SI
3006,Área Matemática Básica 2,9,2,SI
3007,Física Básica,5,2,SI
3161,Química para Ingeniería Civil,6,2,SI
3162,Dibujo Constructivo para Ingeniería,6,2,SI
3013,Área Matemática Intermedia 1,9,3,SI
3014,Física 1,5,3,SI
3163,Ecología,4,3,SI
3164,Prácticas Iniciales,0,3,SI
3019,Ética Profesional,2,3,NO
3165,Geografía,4,3,NO
3089,Lógica,1,3,NO
3026,Filosofía de la Ciencia,1,3,NO
3166,Topografía 1,7,4,SI
3021,Área Matemática Intermedia 2,6,4,SI
3022,Área Matemática Intermedia 3,6,4,SI
3025,Mecánica Analítica 1,4,4,SI
3090,Estadística 1,5,4,SI
3167,Geología,4,4,SI
3023,Física 2,6,4,NO
3168,Legislación 1,3,4,NO
3169,Introducción a la Ingeniería Petrolera,4,4,NO
3170,Topografía 2,7,5,SI
3031,Resistencia de Materiales 1,5,5,SI
3171,Materiales de Construcción 1,6,5,SI
3172,Mecánica de Fluidos,5,5,SI
3028,Matemática Aplicada 1,5,5,SI
3173,Geología Estructural,3,5,NO
3174,Geofísica,3,5,NO
3175,Perforación de Pozos 1,4,5,NO
3176,Petrología,4,5,NO
3177,Geología del Petróleo,4,5,NO
3178,Topografía 3,6,6,NO
3040,Resistencia de Materiales 2,5,6,SI
3179,Instalaciones Eléctricas (Civil),4,6,SI
3180,Materiales de Construcción 2,7,6,SI
3181,Mecánica de Suelos 1,5,6,SI
3182,Hidráulica,5,6,SI
3183,Ingeniería Económica 1,4,6,SI
3184,Psicología Industrial,3,6,NO
3185,Legislación 2,3,6,NO
3099,Ingeniería de Costos,4,6,NO
3186,Vías Terrestres 1,6,7,SI
3187,Análisis Estructural,5,7,SI
3188,Concreto Armado 1,5,7,SI
3189,Hidrología,6,7,SI
3190,Hidráulica de Canales,4,7,SI
3191,Máquinas Hidráulicas,6,7,NO
3192,Ingeniería Económica 2,4,7,NO
3193,Administración de Recursos Humanos,6,7,NO
3194,Prácticas Intermedias,0,7,SI
3195,Vías Terrestres 2,4,8,SI
3196,Tipología Estructural,3,8,NO
3197,Concreto Armado 2,5,8,SI
3198,Cimentaciones 1,4,8,SI
3199,Aguas Subterráneas,3,8,NO
3200,Introducción al Estudio de Impacto Ambiental,4,8,SI
3201,Análisis Mecánico,5,8,NO
3202,Ingeniería Sanitaria 1,4,8,SI
3203,Ingeniería Sanitaria 2,4,8,SI
3204,Investigación 1,4,8,SI
3205,Fundamentos de Administración,4,8,NO
3206,Pavimentos,4,9,SI
3207,Ingeniería de Tránsito y Transportes,4,9,NO
3208,Diseño Estructural 1,6,9,SI
3209,Cimentaciones 2,4,9,SI
3210,Obras Hidráulicas,4,9,NO
3211,Preparación y Evaluación de Proyectos,5,9,SI
3212,Saneamiento Ambiental,3,9,SI
3213,Gestión de Desastres,4,9,NO
3214,Puentes,5,10,SI
3215,Diseño Estructural 2,6,10,SI
3216,Métodos de Construcción y Supervisión de Obras,4,10,SI
3217,Urbanismo,4,10,NO
3218,Planeamiento,4,10,SI
3219,Costos, Presupuestos y Avalúos,5,10,SI
3220,Gestión de Proyectos,4,10,NO
3221,Prácticas Finales de Ingeniería Civil,3,10,SI
3222,Seminario de Investigación EPS, Civil,3,10,NO
3223,Seminario de Investigación Civil,3,10,SI
