codigo,nombre,creditos,semestre,obligatorio
3000,Área Matemática Básica 1,9,1,SI
3001,Química General 1,7,1,SI
3002,Informática,3,1,SI
3003,Área Social Humanística 1,3,1,SI
3004,Área Técnica Complementaria 1,4,1,SI
3005,Técnicas de Estudio e Investigación,3,1,SI
3006,Área Matemática Básica 2,9,2,SI
3007,Física Básica,5,2,SI
3008,Química 2,6,2,NO
3009,Ecología,4,2,SI
3010,Programación Comercial,4,2,SI
3011,Área Social Humanística 2,3,2,SI
3012,Legislación 1,3,2,SI
3013,Área Matemática Intermedia 1,9,3,SI
3014,Física 1,5,3,SI
3015,Estadística 1,5,3,SI
3016,Dibujo Técnico Mecánico,3,3,SI
3017,Psicología Industrial,3,3,SI
3018,Legislación 2,3,3,NO
3019,Ética Profesional 1,2,3,NO
3020,Prácticas Iniciales,5,3,SI
3021,Área Matemática Intermedia 2,6,4,SI
3022,Área Matemática Intermedia 3,6,4,SI
3023,Física 2,6,4,SI
3024,Estadística 2,5,4,SI
3025,Mecánica Analítica 1,4,4,SI
3602,Filosofía de la Ciencia,1,4,NO
3027,Matemática Aplicada 3,5,5,SI
3028,Matemática Aplicada 1,5,5,SI
3029,Mecánica Analítica 2,5,5,NO
3030,Diseño Industrial,6,5,SI
3031,Resistencia de Materiales 1,5,5,SI
3032,Ciencia de los Materiales,4,5,SI
3033,Ingeniería Eléctrica 1,6,5,SI
3034,Mecánica de Fluidos,5,5,SI
3035,Principios de Metrología,4,5,NO
3036,Matemática Aplicada 4,5,6,NO
3037,Control Estadístico de la Calidad,6,6,SI
3038,Ingeniería de Costos,4,6,SI
3039,Investigación de Operaciones 1,6,6,SI
3040,Resistencia de Materiales 2,5,6,NO
3041,Procesos de Manufactura 1,5,6,SI
3042,Termodinámica 1,6,6,SI
3043,Gestión de Desastres,4,7,NO
3044,Ingeniería de Métodos,7,7,SI
3045,Administración Financiera,4,7,SI
3046,Fundamentos de Mercadotecnia,4,7,SI
3047,Fundamentos de Administración,4,7,SI
3048,Investigación de Operaciones 2,6,7,SI
3049,Metalurgia y Metalografía,6,7,NO
3050,Termodinámica 2,6,7,NO
3051,Prácticas Intermedias,3,7,SI
3052,Control de la Producción,6,8,SI
3053,Gestión Ambiental,4,8,SI
3054,Administración de Recursos Humanos,6,8,SI
3055,Comercio Internacional,3,8,SI
3056,Ingeniería Económica 1,4,8,SI
3057,Diseño de Máquinas 1,4,8,NO
3058,Motores de Combustión Interna,6,8,NO
3059,Plantas de Vapor,6,8,NO
3060,Salud y Seguridad Ocupacional,5,9,SI
3061,Montaje y Mantenimiento de Equipo,4,9,SI
3062,Preparación y Evaluación de Proyectos 1,5,9,SI
3063,Gestión Tecnológica,4,9,SI
3064,Seminario de Investigación Industrial,3,9,SI
3065,Logística y Cadena de Suministro,4,9,SI
3066,Microeconomía,3,9,SI
3067,Análisis de Sistemas Industriales,2,9,NO
3068,Seminario de Investigación EPS Industrial,1,9,NO
3069,Ingeniería de Plantas,6,10,SI
3070,Sistema de Gestión de la Calidad,6,10,SI
3071,Gestión de Proyectos,4,10,SI
3072,Innovación y Emprendimiento,6,10,SI
3073,Economía Industrial,3,10,NO
3074,Ingeniería Textil,4,10,NO
3075,Introducción al Estudio del Impacto Ambiental,4,10,NO
3076,Prácticas Finales Ingeniería Industrial,3,10,SI
