codigo,nombre,creditos,semestre,obligatorio
3000,Área Matemática Básica 1,9,1,SI
3001,Química General 1,7,1,SI
3003,Área Social Humanística 1,3,1,SI
3004,Área Técnica Complementaria 1,4,1,SI
3005,Técnicas de Estudio e Investigación,3,1,SI
3083,Idioma Técnico 1,3,1,NO
3082,Deportes 1,2,1,NO
3006,Área Matemática Básica 2,9,2,SI
3007,Física Básica,5,2,SI
3011,Área Social Humanística 2,3,2,SI
3084,Ecología,4,2,SI
3016,Dibujo Técnico Mecánico,3,2,SI
3086,Deportes 2,2,2,NO
3085,Idioma Técnico 2,3,2,NO
3013,Área Matemática Intermedia 1,9,3,SI
3014,Física 1,5,3,SI
3020,Prácticas Iniciales,0,3,SI
3087,Legislación 1,3,3,NO
3089,Lógica,1,3,NO
3088,Química 2,6,3,NO
3098,Idioma Técnico 3,3,3,NO
3021,Área Matemática Intermedia 2,6,4,SI
3022,Área Matemática Intermedia 3,6,4,SI
3023,Física 2,6,4,SI
3090,Estadística 1,6,4,SI
3025,Mecánica Analítica 1,4,4,SI
3019,Ética Profesional,5,4,NO
3026,Filosofía de la Ciencia,2,4,NO
3027,Matemática Aplicada 3,5,5,SI
3091,Programación de Computadoras 1,3,5,SI
3034,Mecánica de Fluidos,5,5,SI
3029,Mecánica Analítica 2,5,5,SI
3033,Ingeniería Eléctrica 1,6,5,SI
3092,Electricidad y Electrónica Básica,6,5,SI
3093,Ingeniería Eléctrica 2,6,6,SI
3042,Termodinámica 1,6,6,SI
3031,Resistencia de Materiales 1,5,6,SI
3032,Ciencia de los Materiales,4,6,SI
3094,Hidráulica,5,6,NO
3099,Ingeniería de Costos,4,6,NO
3095,Máquinas Hidráulicas,6,7,SI
3096,Mecanismos,3,7,SI
3050,Termodinámica 2,6,7,SI
3040,Resistencia de Materiales 2,5,7,SI
3041,Procesos de Manufactura 1,5,7,SI
3097,Prácticas Intermedias,0,7,SI
3024,Estadística 2,3,7,NO
3057,Diseño de Máquinas 1,4,8,SI
3059,Plantas de Vapor,6,8,SI
3049,Metalurgia y Metalografía,6,8,SI
3100,Procesos de Manufactura 2,5,8,SI
3101,Mantenimiento de Hospitales 1,4,8,SI
3102,Vibraciones,6,8,SI
3103,Montaje y Mantenimiento de Equipo,4,9,SI
3104,Mantenimiento de Hospitales 2,4,9,SI
3105,Diseño de Máquinas 2,4,9,SI
3106,Refrigeración y Aire Acondicionado,6,9,SI
3107,Seminario de Investigación Mecánica,4,9,SI
3108,Prácticas Finales de Ingeniería Mecánica,0,9,SI
3110,Ingeniería Económica 1,4,9,NO
3111,Salud y Seguridad Ocupacional,5,9,NO
3109,Seminario de Investigación E.P.S Mecánica,4,9,NO
3112,Instrumentación Mecánica,3,10,SI
3113,Instalaciones Mecánicas,5,10,SI
3114,Mantenimiento de Hospitales 3,4,10,SI
3115,Diseño de Maquinas 3,4,10,SI
3058,Motores de Combustión Interna,6,10,NO
3116,Fundamentos de Administración,4,10,NO
3117,Investigación de Operaciones,6,10,NO
