codigo,nombre,creditos,semestre,obligatorio
3003,Área Social Humanística 1,3,1,SI
3000,Área Matemática Básica 1,9,1,SI
3005,Técnicas de Estudio e Investigación,3,1,SI
3082,Deportes 1,2,1,NO
3081,Idioma Técnico 1,3,1,NO
3011,Área Social Humanística 2,3,2,SI
3006,Área Matemática Básica 2,9,2,SI
3231,Matemática para Computación 1,5,2,SI
3007,Física Básica,5,2,SI
3086,Deportes 2,2,2,NO
3085,Idioma Técnico 2,3,2,NO
3232,Lógica de Sistemas,3,3,SI
3233,Matemática para Computación 2,5,3,SI
3234,Introducción a la Programación y Computación 1,6,3,SI
3013,Área Matemática Intermedia 1,9,3,SI
3014,Física 1,5,3,SI
3019,Ética Profesional,2,3,NO
3098,Idioma Técnico 3,3,3,NO
3235,Lenguajes Formales y de Programación,4,4,SI
3236,Introducción a la Programación y Computación 2,6,4,SI
3021,Área Matemática Intermedia 2,6,4,SI
3022,Área Matemática Intermedia 3,6,4,SI
3023,Física 2,6,4,SI
3089,Lógica,1,4,NO
3237,Idioma Técnico 4,3,4,NO
3238,Prácticas Iniciales,0,4,SI
3090,Estadística 1,5,5,SI
3239,Organización de Lenguajes y Compiladores 1,6,5,SI
3240,Organización Computacional,4,5,SI
3241,Estructura de Datos,6,5,SI
3027,Matemática Aplicada 3,5,5,SI
3028,Matemática Aplicada 1,5,5,SI
3026,Filosofía de la Ciencia,1,5,NO
3242,Teoría de Sistemas 1,4,6,SI
3243,Investigación de Operaciones 1,6,6,SI
3244,Economía,3,6,SI
3245,Organización de Lenguajes y Compiladores 2,6,6,SI
3246,Arquitectura de Computadoras y Ensambladores 1,5,6,SI
3247,Manejo e Implementación de Archivos,5,6,SI
3036,Matemática Aplicada 4,5,6,NO
3121,Matemática Aplicada 2,5,6,NO
3033,Ingeniería Eléctrica 1,6,6,NO
3248,Teoría de Sistemas 2,4,7,SI
3249,Investigación de Operaciones 2,6,7,SI
3118,Estadística 2,5,7,NO
3250,Sistemas Operativos 1,6,7,SI
3251,Arquitectura de Computadoras y Ensambladores 2,5,7,SI
3252,Redes de Computadoras 1,5,7,SI
3253,Sistemas de Bases de Datos 1,6,7,SI
3254,Prácticas Intermedias,0,7,SI
3255,Sistemas Operativos 2,4,8,SI
3256,Redes de Computadoras 2,6,8,SI
3257,Sistemas de Bases de Datos 2,7,8,SI
3258,Análisis y Diseño de Sistemas 1,6,8,SI
3259,Seminario de Sistemas 1,5,8,SI
3110,Ingeniería Económica 1,4,8,NO
3260,Modelación y Simulación 1,5,9,SI
3261,Sistemas Organizacionales y Gerenciales 1,5,9,SI
3262,Inteligencia Artificial 1,7,9,SI
3263,Seguridad y Auditoría de Redes de Computadoras,3,9,NO
3264,Análisis y Diseño de Sistemas 2,7,9,SI
3265,Seminario de Sistemas 2,5,9,SI
3266,Sistemas Aplicados 1,5,9,NO
3267,Bases de Datos Avanzadas,0,9,NO
3268,Prácticas Finales Ingeniería Ciencias y Sistemas,3,9,SI
3269,Modelación y Simulación 2,6,10,SI
3270,Sistemas Organizacionales y Gerenciales 2,6,10,SI
3271,Emprendedores de Negocios Informáticos,6,10,NO
3272,Inteligencia Artificial 2,5,10,NO
3273,Redes de Nueva Generación,3,10,NO
3274,Software Avanzado,8,10,SI
3275,Sistemas Aplicados 2,5,10,NO
3276,Auditoría de Proyectos de Software,6,10,NO
3277,Seminario de Investigación EPS Sistemas,3,10,SI
3278,Seminario de Investigación,3,10,SI
