carrera,curso,prerequisito,id_carrera
Civil,3011,3003,4
Civil,3006,3000,4
Civil,3007,3000,4
Civil,3161,3000,4
Civil,3161,3001,4
Civil,3162,3004,4
Civil,3013,3006,4
Civil,3014,3006,4
Civil,3014,3007,4
Civil,3163,3161,4
Civil,3164,3006,4
Civil,3164,3162,4
Civil,3164,3007,4
Civil,3166,3013,4
Civil,3166,3162,4
Civil,3021,3013,4
Civil,3022,3013,4
Civil,3025,3013,4
Civil,3025,3014,4
Civil,3090,3013,4
Civil,3090,3005,4
Civil,3167,3163,4
Civil,3167,3014,4
Civil,3170,3166,4
Civil,3031,3022,4
Civil,3031,3025,4
Civil,3171,3162,4
Civil,3172,3021,4
Civil,3172,3025,4
Civil,3028,3021,4
Civil,3028,3022,4
Civil,3173,3167,4
Civil,3174,3022,4
Civil,3174,3167,4
Civil,3175,3167,4
Civil,3175,3169,4
Civil,3176,3167,4
Civil,3177,3167,4
Civil,3178,3170,4
Civil,3178,3028,4
Civil,3040,3031,4
Civil,3179,3006,4
Civil,3179,3162,4
Civil,3179,3007,4
Civil,3180,3171,4
Civil,3180,3031,4
Civil,3181,3031,4
Civil,3181,3167,4
Civil,3182,3172,4
Civil,3183,3028,4
Civil,3184,3090,4
Civil,3185,3090,4
Civil,3186,3181,4
Civil,3186,3170,4
Civil,3187,3040,4
Civil,3188,3040,4
Civil,3188,3180,4
Civil,3189,3090,4
Civil,3189,3182,4
Civil,3189,3170,4
Civil,3190,3182,4
Civil,3191,3182,4
Civil,3192,3182,4
Civil,3193,3186,4
Civil,3194,3180,4
Civil,3194,3164,4
Civil,3195,3186,4
Civil,3195,3188,4
Civil,3196,3031,4
Civil,3197,3188,4
Civil,3198,3187,4
Civil,3198,3188,4
Civil,3199,3189,4
Civil,3200,3011,4
Civil,3200,3183,4
Civil,3200,3163,4
Civil,3200,3189,4
Civil,3201,3025,4
Civil,3201,3187,4
Civil,3202,3189,4
Civil,3203,3189,4
Civil,3204,3194,4
Civil,3204,3189,4
Civil,3204,3187,4
Civil,3204,3186,4
Civil,3205,3193,4
Civil,3206,3171,4
Civil,3206,3181,4
Civil,3206,3195,4
Civil,3208,3187,4
Civil,3208,3197,4
Civil,3209,3198,4
Civil,3210,3190,4
Civil,3210,3198,4
Civil,3211,3183,4
Civil,3211,3200,4
Civil,3212,3202,4
Civil,3212,3203,4
Civil,3214,3208,4
Civil,3214,3209,4
Civil,3215,3208,4
Civil,3216,3208,4
Civil,3217,3211,4
Civil,3218,3211,4
Civil,3219,3208,4
Civil,3219,3209,4
Civil,3219,3206,4
Civil,3220,3211,4
Civil,3221,3194,4
Civil,3221,3208,4
Civil,3221,3209,4
Civil,3222,3204,4
Civil,3222,3212,4
Civil,3223,3204,4
Civil,3223,3212,4
