carrera,curso,prerequisito,id_carrera
Industrial,3006,3000,3
Industrial,3007,3000,3
Industrial,3008,3001,3
Industrial,3009,3001,3
Industrial,3010,3002,3
Industrial,3011,3003,3
Industrial,3012,3005,3
Industrial,3012,3003,3
Industrial,3013,3006,3
Industrial,3014,3006,3
Industrial,3014,3007,3
Industrial,3015,3005,3
Industrial,3015,3006,3
Industrial,3016,3004,3
Industrial,3016,3010,3
Industrial,3017,3011,3
Industrial,3018,3012,3
Industrial,3020,3006,3
Industrial,3021,3013,3
Industrial,3022,3013,3
Industrial,3023,3013,3
Industrial,3023,3014,3
Industrial,3024,3015,3
Industrial,3025,3014,3
Industrial,3027,3021,3
Industrial,3027,3022,3
Industrial,3028,3021,3
Industrial,3028,3022,3
Industrial,3029,3025,3
Industrial,3029,3022,3
Industrial,3030,3024,3
Industrial,3031,3022,3
Industrial,3031,3025,3
Industrial,3032,3023,3
Industrial,3033,3022,3
Industrial,3033,3023,3
Industrial,3034,3022,3
Industrial,3034,3025,3
Industrial,3035,3023,3
Industrial,3035,3024,3
Industrial,3036,3028,3
Industrial,3037,3030,3
Industrial,3038,3030,3
Industrial,3039,3027,3
Industrial,3040,3031,3
Industrial,3041,3032,3
Industrial,3042,3034,3
Industrial,3044,3037,3
Industrial,3044,3038,3
Industrial,3045,3038,3
Industrial,3046,3037,3
Industrial,3047,3038,3
Industrial,3048,3039,3
Industrial,3051,3037,3
Industrial,3051,3020,3
Industrial,3052,3044,3
Industrial,3053,3044,3
Industrial,3054,3047,3
Industrial,3055,3046,3
Industrial,3056,3045,3
Industrial,3057,3040,3
Industrial,3057,3032,3
Industrial,3058,3050,3
Industrial,3059,3050,3
Industrial,3060,3052,3
Industrial,3061,3052,3
Industrial,3062,3046,3
Industrial,3062,3056,3
Industrial,3063,3048,3
Industrial,3063,3052,3
Industrial,3064,3052,3
Industrial,3066,3052,3
Industrial,3067,3056,3
Industrial,3068,3048,3
Industrial,3068,3052,3
Industrial,3069,3060,3
Industrial,3070,3060,3
Industrial,3071,3062,3
Industrial,3072,3062,3
Industrial,3073,3056,3
Industrial,3074,3052,3
Industrial,3075,3060,3
Industrial,3076,3060,3
Industrial,3076,3051,3
