carrera,curso,prerequisito
Mecanica,3006,3000
Mecanica,3007,3000
Mecanica,3011,3003
Mecanica,3084,3001
Mecanica,3084,3003
Mecanica,3086,3082
Mecanica,3085,3083
Mecanica,3013,3006
Mecanica,3014,3006
Mecanica,3014,3007
Mecanica,3020,3006
Mecanica,3087,3011
Mecanica,3088,3000
Mecanica,3088,3001
Mecanica,3088,3007
Mecanica,3098,3085
Mecanica,3021,3013
Mecanica,3022,3013
Mecanica,3023,3013
Mecanica,3023,3014
Mecanica,3090,3013
Mecanica,3090,3005
Mecanica,3025,3013
Mecanica,3025,3014
Mecanica,3027,3021
Mecanica,3027,3022
Mecanica,3091,3022
Mecanica,3091,3090
Mecanica,3034,3022
Mecanica,3034,3025
Mecanica,3029,3022
Mecanica,3029,3025
Mecanica,3033,3022
Mecanica,3033,3023
Mecanica,3092,3023
Mecanica,3093,3033
Mecanica,3042,3034
Mecanica,3031,3022
Mecanica,3031,3025
Mecanica,3032,3023
Mecanica,3094,3034
Mecanica,3099,3090
Mecanica,3095,3094
Mecanica,3096,3029
Mecanica,3096,3032
Mecanica,3050,3042
Mecanica,3040,3031
Mecanica,3041,3032
Mecanica,3097,3032
Mecanica,3097,3042
Mecanica,3097,3020
Mecanica,3024,3090
Mecanica,3057,3040
Mecanica,3057,3032
Mecanica,3059,3050
Mecanica,3049,3032
Mecanica,3100,3041
Mecanica,3101,3093
Mecanica,3101,3050
Mecanica,3101,3095
Mecanica,3102,3096
Mecanica,3103,3041
Mecanica,3104,3101
Mecanica,3105,3057
Mecanica,3106,3050
Mecanica,3107,3059
Mecanica,3107,3105
Mecanica,3108,3097
Mecanica,3110,3090
Mecanica,3111,3033
Mecanica,3109,3059
Mecanica,3109,3049
Mecanica,3112,3093
Mecanica,3112,3059
Mecanica,3112,3105
Mecanica,3113,3059
Mecanica,3113,3105
Mecanica,3114,3104
Mecanica,3115,3105
Mecanica,3116,3090
Mecanica,3116,3103
Mecanica,3117,3091
Mecanica,3089,3011
Mecanica,3019,3011
Mecanica,3026,3011
