id,codigo_curso_id,codigo_curso_prre
1,3011,3003
2,3006,3000
3,3007,3000
4,3161,3000
5,3161,3001
6,3162,3004
7,3013,3006
8,3014,3006
9,3014,3007
10,3163,3161
11,3164,3006
12,3164,3162
13,3164,3007
14,3166,3013
15,3166,3162
16,3021,3013
17,3022,3013
18,3025,3013
19,3025,3014
20,3090,3013
21,3090,3005
22,3167,3163
23,3167,3014
24,3170,3166
25,3031,3022
26,3031,3025
27,3171,3162
28,3172,3021
29,3172,3025
30,3028,3021
31,3028,3022
32,3173,3167
33,3174,3022
34,3174,3167
35,3175,3167
36,3175,3169
37,3176,3167
38,3177,3167
39,3178,3170
40,3178,3028
41,3040,3031
42,3179,3006
43,3179,3162
44,3179,3007
45,3180,3171
46,3180,3031
47,3181,3031
48,3181,3167
49,3182,3172
50,3183,3028
51,3184,3090
52,3185,3090
53,3186,3181
54,3186,3170
55,3187,3040
56,3188,3040
57,3188,3180
58,3189,3090
59,3189,3182
60,3189,3170
61,3190,3182
62,3191,3182
63,3192,3182
64,3193,3186
65,3194,3180
66,3194,3164
67,3195,3186
68,3195,3188
69,3196,3031
70,3197,3188
71,3198,3187
72,3198,3188
73,3199,3189
74,3200,3011
75,3200,3183
76,3200,3163
77,3200,3189
78,3201,3025
79,3201,3187
80,3202,3189
81,3203,3189
82,3204,3194
83,3204,3189
84,3204,3187
85,3204,3186
86,3205,3193
87,3206,3171
88,3206,3181
89,3206,3195
90,3208,3187
91,3208,3197
92,3209,3198
93,3210,3190
94,3210,3198
95,3211,3183
96,3211,3200
97,3212,3202
98,3212,3203
99,3214,3208
100,3214,3209
101,3215,3208
102,3216,3208
103,3217,3211
104,3218,3211
105,3219,3208
106,3219,3209
107,3219,3206
108,3220,3211
109,3221,3194
110,3221,3208
111,3221,3209
112,3222,3204
113,3222,3212
114,3223,3204
115,3223,3212
116,3008,3001
117,3009,3001
118,3010,3002
119,3012,3005
120,3012,3003
121,3015,3005
122,3015,3006
123,3016,3004
124,3016,3010
125,3017,3011
126,3018,3012
127,3020,3006
128,3023,3013
129,3023,3014
130,3024,3015
131,3027,3021
132,3027,3022
133,3029,3025
134,3029,3022
135,3030,3024
136,3032,3023
137,3033,3022
138,3033,3023
139,3034,3022
140,3034,3025
141,3035,3023
142,3035,3024
143,3036,3028
144,3037,3030
145,3038,3030
146,3039,3027
147,3041,3032
148,3042,3034
149,3044,3037
150,3044,3038
151,3045,3038
152,3046,3037
153,3047,3038
154,3048,3039
155,3051,3037
156,3051,3020
157,3052,3044
158,3053,3044
159,3054,3047
160,3055,3046
161,3056,3045
162,3057,3040
163,3057,3032
164,3058,3050
165,3059,3050
166,3060,3052
167,3061,3052
168,3062,3046
169,3062,3056
170,3063,3048
171,3063,3052
172,3064,3052
173,3066,3052
174,3067,3056
175,3068,3048
176,3068,3052
177,3069,3060
178,3070,3060
179,3071,3062
180,3072,3062
181,3073,3056
182,3074,3052
183,3075,3060
184,3076,3060
185,3076,3051
186,3084,3001
187,3084,3003
188,3083,3004
189,3086,3082
190,3085,3083
191,3087,3011
192,3088,3000
193,3088,3001
194,3088,3007
195,3098,3085
196,3090,3006
197,3091,3022
198,3091,3090
199,3092,3023
200,3093,3033
201,3094,3034
202,3099,3090
203,3095,3094
204,3096,3029
205,3096,3032
206,3050,3042
207,3097,3032
208,3097,3042
209,3097,3020
210,3024,3090
211,3049,3032
212,3100,3041
213,3101,3093
214,3101,3050
215,3101,3095
216,3102,3096
217,3103,3041
218,3104,3050
219,3105,3057
220,3106,3050
221,3107,3059
222,3107,3105
223,3108,3096
224,3110,3090
225,3111,3033
226,3109,3059
227,3109,3049
228,3112,3093
229,3112,3059
230,3112,3105
231,3113,3093
232,3113,3059
233,3113,3105
234,3114,3104
235,3115,3105
236,3116,3050
237,3117,3090
238,3117,3103
239,3231,3000
240,3085,3081
241,3232,3006
242,3232,3007
243,3232,3231
244,3233,3006
245,3233,3007
246,3233,3231
247,3234,3006
248,3234,3007
249,3234,3231
250,3235,3234
251,3235,3232
252,3235,3231
253,3236,3013
254,3236,3234
255,3236,3232
256,3236,3231
257,3237,3098
258,3238,3006
259,3238,3234
260,3239,3236
261,3239,3235
262,3239,3233
263,3240,3023
264,3240,3236
265,3240,3233
266,3241,3236
267,3241,3235
268,3241,3233
269,3242,3090
270,3242,3241
271,3242,3027
272,3242,3028
273,3243,3236
274,3243,3090
275,3244,3090
276,3245,3241
277,3245,3239
278,3246,3235
279,3246,3240
280,3247,3241
281,3247,3235
282,3121,3028
283,3248,3243
284,3248,3242
285,3249,3243
286,3250,3246
287,3250,3245
288,3251,3246
289,3252,3247
290,3252,3246
291,3253,3247
292,3254,3247
293,3254,3239
294,3254,3246
295,3254,3238
296,3255,3250
297,3256,3252
298,3257,3250
299,3257,3253
300,3258,3253
301,3259,3250
302,3259,3248
303,3259,3253
304,3260,3249
305,3260,3248
306,3261,3258
307,3261,3244
308,3262,3248
309,3262,3257
310,3262,3245
311,3263,3256
312,3264,3258
313,3265,3255
314,3265,3257
315,3265,3259
316,3266,3258
317,3267,3257
318,3268,3258
319,3268,3255
320,3268,3256
321,3268,3254
322,3269,3260
323,3270,3261
324,3271,3261
325,3272,3262
326,3273,3256
327,3274,3264
328,3275,3264
329,3275,3266
330,3276,3264
331,3277,3264
332,3277,3261
333,3277,3265
334,3278,3264
335,3278,3261
336,3278,3265
